"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","intro","joaff5","joagg5","joinc5","jonon4","jonon5","jorew4","jorew5","joself4","joself5","josex4","josex5","imgaff1","imgaff2","imgagg1","imgagg2","imginc1","imginc2","imgnon1","imgnon2","imgrew1","imgrew2","imgsex1","imgsex2","vidaff5","vidaff4","vidagg3","vidagg4","vidinc3","vidinc4","vidnon3","vidnon4","vidrew3","vidself3","vidsex2","vidsex3","attention_check","cheerfulness_1","cheerfulness_4","cheerfulness_5","cheerfulness_6","cheerfulness_7","cheerfulness_8","cheerfulness_9","cheerfulness_10","cheerfulness_11","cheerfulness_12","cheerfulness_13","cheerfulness_14","cheerfulness_15","cheerfulness_16","cheerfulness_17","cheerfulness_19","cheerfulness_20","cheerfulness_21","cheerfulness_23","cheerfulness_24","gender","age","techissues","vidaudCHECK","comment"
"2021-01-27 12:58:08","2021-01-27 13:10:00","0","IP1.08114058283947","100","711","1","2021-01-27 13:10:00","ID-0.148890910323876","","","","","49.399993896484375","-123.5","anonymous","EN","4","4","3","4","4","5","5","2","1","3","7","6","2","7","4","1","7","2","7","4","4","7","5","2","1","3","2","7","4","5","7","4","2","1","7","2","3","3","3","4","3","4","3","3","4","4","4","3","3","3","4","4","3","3","4","4","3","4","31","1","1","I actually needed a laugh today, so thank you, I really enjoyed that!"
"2021-01-27 13:01:24","2021-01-27 13:10:08","0","IP-0.126089919604531","100","523","1","2021-01-27 13:10:08","ID-0.451930168840731","","","","","50.4438018798828125","-3.5760040283203125","anonymous","EN","4","3","4","1","3","2","4","3","2","4","4","4","4","2","3","2","3","3","6","5","2","3","2","4","3","1","5","5","4","4","1","4","2","5","4","4","3","2","2","3","2","3","2","3","3","3","3","2","2","2","3","2","2","2","3","3","2","5","23","1","1",""
"2021-01-27 13:02:06","2021-01-27 13:14:35","0","IP1.3875821679202","100","749","1","2021-01-27 13:14:36","ID0.509342454854255","","","","","51.587799072265625","0.0149993896484375","anonymous","EN","4","3","5","4","4","1","7","1","6","2","7","6","6","5","4","6","5","5","7","5","1","2","4","6","1","4","4","3","1","4","4","1","1","1","1","1","3","2","1","2","1","2","1","2","3","3","2","1","4","2","4","2","1","2","3","3","1","4","47","1","1",""
"2021-01-27 13:00:06","2021-01-27 13:17:47","0","IP-0.753948989901476","100","1061","1","2021-01-27 13:17:48","ID-0.504849553753154","","","","","52.92919921875","-1.10650634765625","anonymous","EN","4","5","2","1","1","1","6","1","5","1","1","6","1","1","1","1","3","2","2","5","6","2","1","1","1","1","1","1","1","1","1","1","1","1","5","5","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","18","1","1",""
"2021-01-27 13:04:40","2021-01-27 13:21:26","0","IP0.249035964244501","100","1006","1","2021-01-27 14:42:06","ID1.62095734347108","","","","","51.64849853515625","-0.7801055908203125","anonymous","EN","4","1","1","2","1","2","2","1","1","3","1","3","4","6","5","2","5","2","5","5","2","6","5","3","1","2","1","4","1","2","1","2","2","2","6","1","3","3","3","3","2","4","3","3","3","3","4","2","2","4","4","2","2","2","2","3","2","4","28","1","1","Tiktok isn't the place for comedians!"
"2021-01-28 03:00:42","2021-01-28 03:10:31","0","IP0.151414379652947","100","588","1","2021-01-28 03:10:31","ID2.65091381420935","","","","","51.49639892578125","-0.122406005859375","anonymous","EN","4","3","5","4","2","3","5","4","3","2","5","4","4","4","4","4","4","5","3","4","5","4","5","5","2","6","5","5","5","5","5","2","2","4","6","2","3","3","3","2","3","3","3","3","3","3","3","3","3","2","2","3","2","3","3","3","3","5","31","1","1",""
"2021-01-28 03:03:03","2021-01-28 03:10:35","0","IP0.671005669883642","100","451","1","2021-01-28 03:10:35","ID-1.74376871955551","","","","","51.782196044921875","-1.485107421875","anonymous","EN","4","2","5","2","1","4","3","1","2","3","7","5","6","2","5","2","6","5","5","2","4","2","3","6","1","4","2","5","7","4","2","3","5","2","7","1","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","33","1","1",""
"2021-01-28 03:00:56","2021-01-28 03:11:27","0","IP0.525405232332742","100","631","1","2021-01-28 03:11:27","ID-0.382958035428218","","","","","52.334197998046875","-6.4575042724609375","anonymous","EN","4","2","2","6","1","2","2","1","1","2","3","4","6","5","6","3","5","2","3","3","4","2","4","2","1","3","3","3","5","4","6","5","2","3","7","1","3","3","3","2","3","3","2","3","4","3","2","2","3","2","3","3","3","2","3","3","3","5","57","1","1",""
"2021-01-28 03:03:26","2021-01-28 03:11:50","0","IP0.555694854636763","100","503","1","2021-01-28 03:11:50","ID0.17708680350271","","","","","53.9376983642578125","-0.4425048828125","anonymous","EN","4","4","3","2","4","4","4","3","5","2","6","2","6","5","7","6","7","4","6","6","3","6","5","5","4","6","3","5","5","5","5","6","5","5","6","3","3","3","4","4","2","4","3","4","4","4","3","3","3","3","4","4","3","3","3","4","3","4","41","1","1",""
"2021-01-28 03:01:27","2021-01-28 03:12:11","0","IP0.248372370378415","100","644","1","2021-01-28 03:12:12","ID0.207626594343861","","","","","55.92059326171875","-2.7881927490234375","anonymous","EN","4","6","6","6","2","4","5","4","2","1","5","7","5","2","4","1","1","5","1","1","1","2","2","5","4","6","2","7","5","6","3","4","1","5","5","1","3","3","4","2","4","3","3","3","3","3","3","3","4","4","4","3","3","3","3","3","3","4","66","1","1",""
"2021-01-28 03:03:27","2021-01-28 03:12:42","0","IP0.965095577815199","100","554","1","2021-01-28 03:12:43","ID-0.100324389955075","","","","","51.0005035400390625","-4.1009063720703125","anonymous","EN","4","1","1","3","3","1","5","1","1","1","5","5","5","4","6","3","2","5","7","2","4","6","6","5","2","3","6","5","2","3","5","3","4","3","2","2","3","3","4","3","3","3","4","4","4","3","4","3","3","4","4","3","3","3","4","3","3","4","30","1","1","N/A"
"2021-01-28 03:05:24","2021-01-28 03:13:17","0","IP0.158607521546636","100","472","1","2021-01-28 03:13:17","ID-0.979792087459177","","","","","-37.9893951416015625","145.06048583984375","anonymous","EN","4","3","2","3","4","4","3","5","1","3","4","2","2","3","3","2","7","1","6","1","4","2","3","1","2","4","4","1","5","3","5","4","4","6","5","3","3","1","4","3","3","4","2","3","4","4","4","2","4","2","3","3","3","2","3","4","3","4","26","1","1",""
"2021-01-28 03:03:09","2021-01-28 03:13:23","0","IP-0.32918999614044","100","614","1","2021-01-28 03:13:23","ID2.07899646411977","","","","","55.86700439453125","-4.2621002197265625","anonymous","EN","4","1","6","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","6","4","1","1","1","1","6","5","1","1","1","1","1","6","1","3","3","3","3","2","4","3","4","4","3","4","2","4","3","3","3","3","2","4","4","4","4","63","1","1","this was most enjoyable! good luck with your research!"
"2021-01-28 03:02:11","2021-01-28 03:13:26","0","IP-1.7057635702651","100","674","1","2021-01-28 03:13:26","ID0.406127294176759","","","","","51.600799560546875","-3.42529296875","anonymous","EN","4","5","6","2","1","3","5","5","3","2","3","5","6","4","5","4","1","5","2","1","1","2","5","5","3","4","4","3","4","5","3","4","1","3","4","1","3","2","2","1","2","1","2","1","2","1","1","2","2","3","3","2","2","2","3","1","1","4","57","1","1","None thank you"
"2021-01-28 03:03:46","2021-01-28 03:13:37","0","IP0.309554468948062","100","590","1","2021-01-28 03:13:37","ID-0.0217013987234469","","","","","55.1045989990234375","-3.62969970703125","anonymous","EN","4","3","2","2","4","2","5","3","3","2","5","5","4","2","2","1","2","2","2","2","3","1","6","5","1","1","1","5","2","1","3","1","1","2","7","1","3","3","3","2","4","3","3","4","4","3","4","4","3","4","3","3","3","3","3","4","4","5","45","1","1",""
"2021-01-28 03:03:35","2021-01-28 03:15:05","0","IP0.845665141619466","100","690","1","2021-01-28 03:15:05","ID-1.80303421109873","","","","","53.333099365234375","-6.2489013671875","anonymous","EN","4","4","5","5","1","4","3","2","2","3","3","4","5","4","5","3","6","2","5","2","5","2","5","2","1","4","5","6","3","3","6","5","1","2","6","1","3","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","2","5","52","2","1","Audio was way too loud on some when you turn it's too low on others"
"2021-01-28 03:05:26","2021-01-28 03:15:26","0","IP-0.0651415382294393","100","600","1","2021-01-28 03:15:26","ID0.78870833926199","","","","","51.737701416015625","-1.2053985595703125","anonymous","EN","4","1","5","1","1","2","2","2","1","2","3","6","6","6","6","1","5","5","1","1","4","1","5","5","1","3","2","4","1","3","1","1","1","1","5","1","3","2","2","3","3","3","2","3","3","3","2","2","2","2","4","3","2","2","3","2","2","4","38","1","1",""
"2021-01-28 03:06:21","2021-01-28 03:15:57","0","IP-0.414095714006186","100","576","1","2021-01-28 03:15:58","ID0.00609235527249952","","","","","33.591705322265625","-112.11309814453125","anonymous","EN","4","3","4","3","2","3","5","7","3","4","3","3","4","3","5","5","7","3","6","1","5","5","6","1","1","7","4","6","7","4","2","6","5","7","5","3","3","4","4","4","3","4","4","4","4","4","4","4","4","4","4","3","4","3","4","4","4","6","24","1","1",""
"2021-01-28 03:02:17","2021-01-28 03:16:26","0","IP3.20886368348227","100","849","1","2021-01-28 03:16:26","ID1.05476845502256","","","","","52.4550018310546875","-1.864105224609375","anonymous","EN","4","4","7","4","5","5","6","3","5","4","7","7","7","6","7","4","4","5","7","7","2","5","7","7","5","6","5","4","4","4","4","3","4","5","7","5","3","4","4","4","4","4","3","4","4","3","4","4","3","4","4","3","3","3","4","3","3","4","30","1","1",""
"2021-01-28 03:06:24","2021-01-28 03:16:33","0","IP-0.927264842209013","100","609","1","2021-01-28 03:16:34","ID1.2815849900849","","","","","52.7570037841796875","0.4152984619140625","anonymous","EN","4","3","5","1","1","1","1","1","1","1","4","2","2","4","2","3","5","4","5","1","5","5","1","2","1","5","1","3","2","1","2","2","1","2","3","1","3","2","3","3","2","2","2","3","4","2","3","3","3","4","3","3","2","2","3","2","3","4","28","1","1",""
"2021-01-28 03:08:09","2021-01-28 03:16:55","0","IP0.241945646066754","100","525","1","2021-01-28 03:16:56","ID-1.41186646165799","","","","","53.35260009765625","-1.2996978759765625","anonymous","EN","4","2","1","3","5","2","2","1","1","1","2","1","2","2","2","2","6","2","1","3","5","1","5","2","1","3","4","4","2","5","2","5","3","4","7","1","3","3","3","4","3","4","3","3","3","4","3","3","3","3","3","3","3","3","3","4","3","5","45","1","1",""
"2021-01-28 03:06:50","2021-01-28 03:17:03","0","IP-0.317184957085666","100","613","1","2021-01-28 03:17:04","ID-0.644494303926139","","","","","52.0890960693359375","0.45599365234375","anonymous","EN","4","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","4","1","2","1","1","1","1","1","1","2","1","1","1","2","3","1","1","1","1","3","3","3","2","3","3","4","3","4","4","3","3","3","3","2","4","3","2","2","3","3","4","55","1","1",""
"2021-01-28 03:07:37","2021-01-28 03:17:04","0","IP-1.52512867464855","100","567","1","2021-01-28 03:17:04","ID-0.948716475473309","","","","","52.95379638671875","-1.1571044921875","anonymous","EN","4","2","7","7","1","2","4","1","1","1","7","6","2","7","7","2","7","5","1","2","5","5","7","7","7","3","2","7","1","5","3","4","5","7","6","1","2","4","3","3","4","3","2","4","4","2","4","4","4","3","4","3","4","4","4","3","3","5","19","1","1","Pretty good survey, relatively quick, didn't know what exactly the last video was showing it technically was social media but could've been another topic but other than that it was all okay!"
"2021-01-28 03:06:54","2021-01-28 03:17:06","0","IP0.989038932788274","100","611","1","2021-01-28 03:17:06","ID-1.17097955655991","","","","","54.5832977294921875","-5.9333038330078125","anonymous","EN","4","5","5","6","3","4","5","3","3","2","4","5","5","1","6","4","5","5","6","5","5","6","5","5","2","5","5","4","6","4","2","4","3","3","6","2","3","2","3","3","2","3","3","3","2","3","3","2","3","3","2","3","3","2","3","3","3","4","30","1","1",""
"2021-01-28 03:06:32","2021-01-28 03:17:18","0","IP-0.494552784320983","100","645","1","2021-01-28 03:17:18","ID0.307165382498329","","","","","-33.91400146484375","18.41290283203125","anonymous","EN","4","1","1","3","1","1","1","4","1","4","3","1","3","2","5","1","3","2","2","1","2","5","4","2","1","3","4","3","6","6","3","2","1","1","1","2","3","2","2","3","3","3","2","3","4","3","3","3","2","3","3","3","2","2","2","3","3","5","22","1","1",""
"2021-01-28 03:09:01","2021-01-28 03:17:18","0","IP0.440065712698421","100","497","1","2021-01-28 03:17:18","ID0.714037414755469","","","","","52.7050018310546875","-2.443206787109375","anonymous","EN","4","5","5","5","2","2","3","3","3","3","5","5","5","4","4","2","3","2","6","3","3","5","4","4","2","6","6","6","4","4","6","5","5","6","5","2","3","2","2","3","3","2","2","3","4","3","3","2","2","3","3","2","2","2","3","3","2","4","33","1","1",""
"2021-01-28 03:08:45","2021-01-28 03:17:23","0","IP0.230950942628312","100","518","1","2021-01-28 03:17:24","ID0.0982091392627632","","","","","51.9322052001953125","-0.4568023681640625","anonymous","EN","4","2","3","5","1","1","1","1","1","1","1","5","2","2","2","1","3","2","1","1","1","1","3","1","1","3","1","2","2","5","2","1","1","2","2","1","3","2","3","2","3","3","2","4","2","3","3","3","2","4","3","4","3","2","2","1","4","4","56","1","1","most of these were not funny at all"
"2021-01-28 03:09:36","2021-01-28 03:17:26","0","IP1.0799705542179","100","469","1","2021-01-28 03:17:26","ID1.6092423366712","","","","","33.554595947265625","-81.72100067138671875","anonymous","EN","4","5","2","5","5","3","5","2","2","3","5","5","6","2","6","4","5","1","2","2","1","3","5","4","1","2","1","6","3","5","2","1","2","2","6","1","3","2","2","3","2","3","2","3","4","3","3","2","3","3","4","2","2","2","3","4","2","5","18","1","1",""
"2021-01-28 03:03:40","2021-01-28 03:17:26","0","IP0.735134627677079","100","826","1","2021-01-28 03:17:27","ID-1.22975720524602","","","","","53.4662933349609375","-2.1342010498046875","anonymous","EN","4","5","7","2","1","5","4","5","4","2","4","5","3","2","5","3","2","3","5","1","4","3","6","6","1","5","3","5","5","2","1","2","2","2","3","1","3","2","2","2","2","3","2","3","2","2","3","2","2","3","3","3","2","2","3","3","2","5","50","1","1",""
